hostname,software
live.dcnh.cloud,peertube
beltaine.day,mastodon
gts.nonproduction.website,gotosocial
social.gerben.dev,gotosocial
redpanda.pics,mastodon
mastodon.c.smoothnet.org,mastodon
kbmm-misskey.chupacabrasmon.net,misskey
patmulcahy.com,writefreely
toot.codatory.com,mastodon
mastodon.eddmil.es,mastodon
v9.next.forgejo.org,forgejo
tube.crapaud-fou.org,peertube
null.codes,gotosocial
ma.fono.jp,mastodon
p.umbriel.fr,akkoma
media.assassinate-you.net,peertube
ofurodon.com,mastodon
hata.casa,pleroma
lauraorchid.tech,mastodon
federatedfandom.net,mastodon
buddel.caasn.de,SingleFileActivityPubServerinPHP
pixel.everythingbagel.me,pixelfed
pixel.markbrouch.com,pixelfed
history.lol,mastodon
orfodon.org,mastodon
shigusegubu.club,pleroma
freesewing.social,mastodon
fedi.cass-dlcm.dev,gotosocial
m.litten.org,mastodon
kanitamadaisukiclub.xsns.jp,misskey
mastodon.obdev.at,mastodon
skeleton.town,mastodon
mastodon.originalsinners.org,mastodon
gts.easrng.net,gotosocial
fedilove.cyou,mastodon
mastodon.in4matics.cat,mastodon
queerdon.social,mastodon
savageworlds.social,mastodon
vn.zohup.top,peertube
freefortnitegift.cards,mastodon
pix.myrkit.com,pixelfed
detmi.social,mastodon
clowntown.app,hometown
mastodon.ouvaton.coop,mastodon
metacritics.zone,lemmy
mastodon.uniteddiversity.coop,mastodon
fault.stsecurity.moe,mastodon
social.ralnode.net,mastodon
nnmdon.com,mastodon
mastodon.morgiano.it,mastodon
soulcrash.net,pleroma
nebula.borj.org,pleroma
beardedtek.net,peertube
lemmy.magnor.ovh,lemmy
pixel.tiggi.es,pixelfed
mastodon.k8s.forster.cc,mastodon
mastodon.denibol.com,mastodon
kinkcalendar.site,gancio
mastoden.com,mastodon
videovortex.tv,peertube
lemmy.chaos.berlin,lemmy
peertube.laguixeta.cat,peertube
felin.social,mastodon
videoarchive.wawax.info,peertube
mastodon.jfmblinux.fr,mastodon
egirls.gay,sharkey
friendica.wige.erabo.de,friendica
omgwars.com,mastodon
mstdn.matsu.icu,mastodon
goyim.social,pleroma
social.zaphar.net,gotosocial
mastodon.drewhess.social,mastodon
mastodon.schweren.dev,mastodon
awful.systems,lemmy
xmstdn.xsns.jp,mastodon
p.eertu.be,peertube
stolat.town,mastodon
yamasaur.com,lemmy
academe.social,mastodon
mastodon.gnomos.org,mastodon
ceejayoz.io,mastodon
mastodon.publicinterest.town,hometown
videos.domainepublic.net,peertube
fedi.stuvel.eu,pixelfed
vyos.social,akkoma
activitypub.moziz.fi,gotosocial
mastodon.dfxn.org,mastodon
social.henriquesouza.net,gotosocial
home.tj-h.com,mastodon
mastodon.xxlab.tech,mastodon
mstdn.nekonote.cc,mastodon
kumi.life,gotosocial
video.ploud.fr,peertube
morale.ch,misskey
mai.waifuism.life,misskey
queereclaim.org,mastodon
vulgarisation-informatique.fr,peertube
mtn.selfre.cc,mastodon
lizards.live,mastodon
gitler.moe,gitea
